id,category,name,mandatory,scope,normative_source,criteria_ref,description,fixture_id,test_file,artifact_path,tolerance_id,decision_refs,allowed_terminal_statuses,current_status,numeric_parity,evidence,notes
F012,estimator,Weights and fix_weights,true,core,R did 2.5.1,F012,Analytic weights and fixed-weight options,F012,tests/stata/test-f012.do,tests/fixtures/parity/f012,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f012/metadata/manifest.json;tests/stata/test-f012.do;reports/implementation-status.md,"Balanced-panel default/varying/base_period/first_period iweight/weightsname slices passed for dr/reg/ipw with no covariates and numeric covariates, plus true repeated-cross-section default/varying weighted slices with no covariates and numeric covariates; scaled-weight invariance, time-invariant unit-weight fix_weights point-estimate invariance across dr/reg/ipw with no and numeric covariates, negative-weight validation, R-style time-varying-weight messaging, time-invariant no-message behavior, and fixed-reference unbalanced drop warnings passed; weighted simple/group/calendar/dynamic aggregation passed for dr/reg/ipw, no and numeric covariates, wt/wt_scaled, panel default/varying/base_period/first_period, repeated-cross-section default/varying, and unbalanced-as-rc default/varying/base_period/first_period; inherited IF consistency and custom-estimator diagnostics remain tracked by RT/PY rows"
F013,inference,Analytical standard errors,true,core,R did 2.5.1,F013,Non-bootstrap SE parity,F013,tests/stata/test-f013.do,tests/fixtures/parity/f013,TOL002,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f013/metadata/manifest.json;tests/stata/test-f013.do;reports/implementation-status.md,"Analytical ATT(g,t) SE plus influence-function dimension and summary fixture passed against R did 2.5.1 for balanced panel no-covariate, balanced panel numeric-covariate dr, and true repeated-cross-section no-covariate slices on Stata 17 MP; bootstrap and clustered inference remain F014/F015"
F014,inference,Bootstrap and simultaneous bands,true,core,R did 2.5.1,F014,Multiplier bootstrap and bands,F014,tests/stata/test-f014.do,tests/fixtures/parity/f014,TOL003,D001,parity-verified|approved-divergence,approved-divergence,measured,tests/fixtures/parity/f014/metadata/manifest.json;tests/stata/test-f014.do;reports/implementation-status.md,"Approved-divergence ATT(g,t) multiplier-bootstrap smoke passed for one balanced-panel method(reg) slice with unclustered and cluster-summed influence-function paths, recorded reps/seed/distribution/cluster metadata, simultaneous cband metadata, pointwise switch, and validation events; exact seeded BMisc/R rademacher multiplier-stream parity is implemented for the public seed path and guarded by F035, while stochastic bootstrap SEs are smoke-checked and deterministic ATT, analytical SEs, clustered analytical SEs, metadata, and CI algebra are enforced; PY005/PY015 cover inherited Python clustered bootstrap smoke, RT017 covers inherited R ATT(g,t) cluster-sum bootstrap stress, and aggregation bootstrap plus inherited RT018 postprocess stress remain tracked separately"
F015,inference,Clustered inference,true,core,R did 2.5.1,F015,Cluster SE and validation,F015,tests/stata/test-f015.do,tests/fixtures/parity/f015,TOL002,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f015/metadata/manifest.json;tests/stata/test-f015.do;reports/implementation-status.md,"Analytical cluster-sum SE fixture passed against R did 2.5.1 for ATT(g,t) and simple/group/calendar/dynamic aggregation across balanced panel no-covariate, balanced panel numeric-covariate dr, and true repeated-cross-section no-covariate slices; e(cluster_vec) stores per-unit cluster labels for postestimation; time-varying panel cluster validation passed; inherited Python analytical/bootstrap cluster smoke is covered by PY002/PY004/PY005/PY015 plus F014/F035, RT007 covers inherited R cluster-analytic stress, and RT017 covers inherited R ATT(g,t) cluster-sum bootstrap stress"
F016,panel,Unbalanced panels as RC,true,core,R did 2.5.1,F016,Required R default for unbalanced panels,F016,tests/stata/test-f016.do,tests/fixtures/parity/f016,TOL002,D003,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f016/metadata/manifest.json;tests/stata/test-f016.do;reports/implementation-status.md,"Owner-directed D003 unbalanced-panel default passed: unbalanced ivar() routes to the repeated-cross-section estimator and matches R did 2.5.1 for dr/reg/ipw point estimates, SEs, cell counts, clustered SEs, e(panel_mode), and time-varying cluster rejection with no covariates and x1+x2 covariates, each with and without iweights; inherited equal-row-count/missing-periods balance-detection edge case matches R missingness and finite ATT/SE values; RT027-style shuffled unbalanced clustered universal-base ATT(g,t), aggregation, cluster-vector alignment, and missing-SE base-cell parity passed; broader inherited unbalanced stress remains tracked by RT027/PY rows"
F017,legacy,Balance-dropping compatibility,false,compat,Legacy Stata,F017,Old Stata balancing modes,F017,tests/stata/test-f017.do,tests/fixtures/parity/f017,TOL001,D008,parity-verified|approved-divergence|soft-deprecated-alias,soft-deprecated-alias,measured,tests/fixtures/parity/f017/metadata/manifest.json;tests/stata/test-f017.do;reports/implementation-status.md,"Legacy bal(full), balance(full), and bal(unbal) are rejected with a clear unsupported-by-design error; default unbalanced ivar() remains R-compatible unbalanced-as-rc; long/long2 are deprecated aliases that use base_period(universal) when base_period() is omitted; asinr no-op warning is covered OWNER DECISION 2026-07-27: wboot() reps() must exceed 20. R accepts biters=1; csdid refuses, because a handful of draws cannot support a standard error or an empirical simultaneous critical value. DELIBERATE DIVERGENCE, approved: stricter than R by design."
F018,panel,True repeated cross sections,true,core,R did 2.5.1,F018,panel false behavior,F018,tests/stata/test-f018.do,tests/fixtures/parity/f018,TOL002,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f018/metadata/manifest.json;tests/stata/test-f018.do;reports/implementation-status.md,True repeated-cross-section no-ivar path matches R panel=FALSE ATT/SE and stores repeated-cross-section panel mode on Stata 17 MP
F019,sample,Missingness and subset,true,core,R did 2.5.1,F019,Sample construction parity,F019,tests/stata/test-f019.do,tests/fixtures/parity/f019,EXACT,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f019/metadata/manifest.json;tests/stata/test-f019.do;reports/implementation-status.md,No-covariate if-subset and missing-outcome sample mask plus ATT/SE fixture passed against R did 2.5.1 on Stata 17 MP; treatment/id/time validation covered by F021-F024/F030
F020,estimator,No never-treated units,true,core,R did 2.5.1,F020,No never-treated behavior,F020,tests/stata/test-f020.do,tests/fixtures/parity/f020,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f020/metadata/manifest.json;tests/stata/test-f020.do;reports/implementation-status.md,No never-treated cohort behavior verified for nevertreated and notyettreated controls; latest cohort comparison handling and period filtering match R did 2.5.1 on Stata 17 MP
F021,estimator,Always and first-period treated,true,core,R did 2.5.1,F021,Treatment timing edge cases,F021,tests/stata/test-f021.do,tests/fixtures/parity/f021,EXACT,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f021/metadata/manifest.json;tests/stata/test-f021.do;reports/implementation-status.md,First-period treated units are removed from effective estimation sample; sample mask and ATT/SE fixture passed against R did 2.5.1 on Stata 17 MP
F022,estimator,Treatment timing encodings,true,core,R did 2.5.1,F022,Never-treated encodings,F022,tests/stata/test-f022.do,tests/fixtures/parity/f022,EXACT,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f022/metadata/manifest.json;tests/stata/test-f022.do;reports/implementation-status.md,Future-treated cohorts with g > max(time)+anticipation are treated as never-treated; sample mask and ATT/SE fixture passed against R did 2.5.1 on Stata 17 MP; negative gvar values are explicitly rejected with an R 2.5.1 audit-compatible diagnostic
F023,time,Irregular time gaps,true,core,R did 2.5.1,F023,Nonconsecutive time behavior,F023,tests/stata/test-f023.do,tests/fixtures/parity/f023,EXACT,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f023/metadata/manifest.json;tests/stata/test-f023.do;reports/implementation-status.md,Nonconsecutive calendar time fixture preserves R group/time/event_time rows and ATT/SE values on Stata 17 MP
F024,sample,Duplicate unit-time rows,true,core,R did 2.5.1,F024,Duplicate policy,F024,tests/stata/test-f024.do,tests/fixtures/parity/f024,EXACT,D001,parity-verified|approved-divergence,parity-verified,behavioral,tests/fixtures/parity/f024/metadata/manifest.json;tests/stata/test-f024.do;reports/implementation-status.md,Duplicate ivar-time rows are rejected before estimation; clean input passes and duplicate fixture returns r(459) on Stata 17 MP using R did 2.5.1 duplicate policy as oracle
F025,aggregation,Aggregation window options,true,core,R did 2.5.1,F025,balance_e min_e max_e na.rm,F025,tests/stata/test-f025.do,tests/fixtures/parity/f025,TOL001,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f025/metadata/manifest.json;tests/stata/test-f025.do;reports/implementation-status.md,Aggregation window options verified for dynamic min_e/max_e and balance_e simple/group max_e calendar ignored windows and na_rm missing-ATT handling against R did 2.5.1 on Stata 17 MP
F026,output,Stored results,true,core,R did 2.5.1,F026,Stata e returns and matrices,F026,tests/stata/test-f026.do,tests/fixtures/parity/f026,EXACT,D001,parity-verified|approved-divergence,parity-verified,behavioral,tests/fixtures/parity/f026/metadata/manifest.json;tests/stata/test-f026.do;reports/implementation-status.md,"Stored-result schema fixture passed for panel ATT(g,t), repeated-cross-section ATT(g,t), clustered metadata, e(unit_group) id/group/weight schema, and simple aggregation e() surfaces on Stata 17 MP; export tables, plot data, and richer RIF saved artifacts remain F027/F028/F034"
F027,output,Exportable tables,true,core,R did 2.5.1,F027,Tidy and glance analogues,F027,tests/stata/test-f027.do,tests/fixtures/parity/f027,EXACT,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f027/metadata/manifest.json;tests/stata/test-f027.do;reports/implementation-status.md,"csdid_estat tidy/glance export fixture passed for ATT(g,t) and simple, group, calendar, and dynamic aggregation using R did 2.5.1 formulas; table schemas, statistics, p-values, confidence intervals, and glance metadata are verified; inherited tidy/glance stress is covered by RT014, RT026, PY011, and PY022 rows"
F028,plotting,Plot data and csdid_plot,true,core,R did 2.5.1,F028,Plot data and graph commands,F028,tests/stata/test-f028.do,tests/fixtures/parity/f028,TOL005,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f028/metadata/manifest.json;tests/stata/test-f028.do;reports/implementation-status.md,"csdid_plot saving() plot-data fixture passed for ATT(g,t), ATT(g,t) group filtering, simple-aggregation rejection, and dynamic/group/calendar aggregation using R did 2.5.1 ggdid formulas; plot data columns, labels, confidence intervals, significance flags, and save behavior are verified; rendered graph output, graph styling, inherited R/Python plotting tests, and JEL figure artifacts remain tracked by RT013/PY010/JEL rows"
F029,validation,Error and warning surface,true,core,R did 2.5.1,F029,Invalid options and guidance,F029,tests/stata/test-f029.do,tests/fixtures/parity/f029,EXACT,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f029/metadata/manifest.json;tests/stata/test-f029.do;reports/implementation-status.md,"Validation-event fixture passed for current csdid/csdid_stats/csdid_estat/csdid_plot command surfaces, including return codes and normalized diagnostic messages for invalid methods, base periods, fixed weights, anticipation, negative weights, duplicates, unsupported options, missing prior results, missing saving(), unavailable simple plots, and empty samples; inherited Python error-handling is covered by PY008, while inherited R error-handling remains tracked by RT011"
F030,input,Data types,true,core,R did 2.5.1,F030,IDs controls and names,F030,tests/stata/test-f030.do,tests/fixtures/parity/f030,EXACT,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f030/metadata/manifest.json;tests/stata/test-f030.do;reports/implementation-status.md,"Data-type and name fixture passed for numeric id/time/gvar storage classes, non-default variable names, numeric controls, e() name preservation, R-backed name-collision parity for user variables named idname/tname/gname with a harmless t1 column, R-backed name-collision parity for user variables named group/time/unit across dr/reg/ipw, output-name covariates named att/se/event_time/overall_att across dr/reg/ipw, and explicit string outcome/covariate/ivar/time/gvar/cluster rejection; broader inherited name-normalization stress remains tracked by RT/PY rows"
F031,hygiene,Mutation and temp safety,true,release,R did 2.5.1,F031,No data or state leaks,F031,tests/stata/test-f031.do,tests/fixtures/parity/f031,EXACT,D001,parity-verified|approved-divergence,parity-verified,behavioral,tests/fixtures/parity/f031/metadata/manifest.json;tests/stata/test-f031.do;reports/implementation-status.md,"State-hygiene gate passed for supported estimation, saved-RIF estimation, saved-RIF postestimation, current-frame preservation when frames are available, auxiliary-frame preservation when frames are available, absence of package global macro writes in source files, csdid_estat display/tidy/glance, csdid_stats simple/group/calendar/dynamic, csdid_plot supported plot-data exports, invalid-option rejection, and preservation of data values, order, variable order, labels, characteristics, and user matrices"
F032,performance,Optimized path equivalence,true,core,R did 2.5.1,F032,Fast path equals baseline,F032,tests/stata/test-f032.do,tests/fixtures/parity/f032,TOL002,D001,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f032/metadata/manifest.json;tests/stata/test-f032.do;reports/implementation-status.md,"Row-index fast-path equivalence fixture passed for balanced-panel no-covariate method(reg) ATT(g,t), analytical SEs, clustered analytical SEs, influence-function summaries, Gram matrix, row-order invariance, simple/group/calendar/dynamic aggregations, and nevertreated/not-yet-treated by varying/universal base-period option grid; requested-fast fallback matches baseline for dr/ipw methods, covariates, weights, and unbalanced panels; Python covariate fallback fast grid is covered by PY009; RT012/RT025 now cover inherited R faster-mode and precompute public invariants with approved R-only internal divergences; broader inherited unbalanced clustered fast-mode stress remains tracked by RT027"
F033,dependency,DRDID boundary,true,core,R did 2.5.1,F033,2x2 dependency parity,F033,tests/stata/test-f033.do,tests/fixtures/parity/f033,TOL001,D001,parity-verified|approved-divergence,approved-divergence,measured,tests/fixtures/parity/f033/metadata/manifest.json;tests/fixtures/parity/f033/expected/contract/approved-divergence.csv;tests/stata/test-f033.do;reports/implementation-status.md,"Direct R DRDID 1.3.0 boundary fixture passed for one two-period design across weighted/unweighted panel and repeated-cross-section, intercept/covariate, dr/reg/ipw normalized-IPW cells, pscoretrim(.7), and diagnostics proving Stata matches R did target functions rather than improved DRDID, RC1, or unnormalized IPW alternatives; raw DRDID helper internals are approved divergence F033-DIV001"
F034,postestimation,RIF and saved artifacts,true,core,R did 2.5.1,F034,RIF and postestimation artifacts,F034,tests/stata/test-f034.do,tests/fixtures/parity/f034,TOL002,D001,parity-verified|approved-divergence,approved-divergence,measured,tests/fixtures/parity/f034/metadata/manifest.json;tests/fixtures/parity/f034/expected/contract/approved-divergence.csv;tests/stata/test-f034.do;reports/implementation-status.md,"saverif() artifact fixture passed for panel and true repeated-cross-section no-covariate reg slices; saved RIF schema includes unit aggregation weight, dataset/variable characteristics, replace/no-replace behavior, RIF summary parity against R did 2.5.1, and csdid_stats using reload parity for simple/group/calendar/dynamic aggregation; persisted RIF datasets are approved Stata extension divergence F034-DIV001"
F035,inference,Wild bootstrap options,true,core,R did 2.5.1,F035,Stata bootstrap options under R parity,F035,tests/stata/test-f035.do,tests/fixtures/parity/f035,TOL003,D001,parity-verified|approved-divergence,approved-divergence,measured,tests/fixtures/parity/f035/metadata/manifest.json;tests/fixtures/parity/f035/expected/contract/approved-divergence.csv;tests/stata/test-f035.do;reports/implementation-status.md;tools/parity/generators/f035/generate.R,"Bootstrap option-surface fixture passed for wboot reps/biters, nested and top-level seeds, exact seeded BMisc/R rademacher multiplier-stream parity, rademacher accepted as the only multiplier and mammen/gaussian/normal refused with r(498) rather than silently coerced (CORRECTED 2026-07-28: this note previously claimed the three were mapped onto rademacher, which was the pre-2.0.0 behaviour; verified by running all four spellings), pointwise metadata, ATT(g,t) cluster bootstrap via cluster() and wboot(cluster()), mismatched/multiple cluster declarations, and invalid option diagnostics; aggregation-bootstrap postprocess remains an approved divergence F035-DIV002 CONVERTED 2026-07-27 behavioral -> measured: the assertions proved the four wboot option spellings agree with each other; the seeded bootstrap value is now pinned against R at 1e-9."
F036,legacy,Option inventory,true,contract,Legacy Stata,F036,Classify every current Stata option,F036,tests/stata/test-f036.do,tests/fixtures/parity/f036,EXACT,D008,parity-verified|approved-divergence,approved-divergence,behavioral,tests/fixtures/parity/f036/metadata/manifest.json;tests/fixtures/parity/f036/expected/contract/approved-divergence.csv;tests/stata/test-f036.do;reports/implementation-status.md,"Executable option inventory passed for current csdid/csdid_stats/csdid_estat/csdid_plot surfaces, accepted pscoretrim(), accepted soft-deprecated aliases, accepted agg(event) immediate wrapper, and explicit diagnostics for dryrun, unsupported agg() types, invalid pscoretrim() (nonpositive/missing only; >=1 is accepted and means no trimming, matching DRDID), from() (unsupported-by-design, refused by name on csdid/csdid_stats/csdid_estat), and unsupported style options; legacy Stata option classifications are frozen as approved divergence F036-DIV001"
F037,python,Parametric combination grid,true,deeper,Python csdid,F037,Python deeper combination tests,F037,tests/stata/test-f037.do,tests/fixtures/parity/f037,TOL001,D004,parity-verified|approved-divergence,approved-divergence,measured,tests/fixtures/parity/f037/metadata/manifest.json;tests/fixtures/parity/f037/expected/contract/approved-divergence.csv;tests/stata/test-f037.do;reports/implementation-status.md,"R-anchored parametric-combination grid passed for method x control-group x base-period, method x panel, method x anticipation, and method x aggte-type analytical slices with one numeric covariate; Python-only stochastic bootstrap combinations and exhaustive integration-grid residuals are approved divergence F037-DIV001 and remain covered by dedicated Python gates"
F038,python,User regression tests,true,deeper,Python csdid,F038,Python user bug-fix tests,F038,tests/stata/test-f038.do,tests/fixtures/parity/f038,TOL001,D004,parity-verified|approved-divergence,approved-divergence,measured,tests/fixtures/parity/f038/metadata/manifest.json;tests/fixtures/parity/f038/expected/contract/approved-divergence.csv;tests/stata/test-f038.do;reports/implementation-status.md,"F038 user-regression fixture passed against R did 2.5.1 for harmless t1 columns, missing-covariate complete-case panel unit dropping, fewer observed periods than treatment groups with dynamic/group/calendar aggregations, zero pre-treatment outcomes, missing formula variables, and anticipation-window treatment-group coercion; inherited residual user-bug coverage is approved divergence F038-DIV001 and covered by RT028/PY020/PY023"
F039,python,Inference tests,true,deeper,Python csdid,F039,Python inference deeper tests,F039,tests/stata/test-f039.do,tests/fixtures/parity/f039,TOL002,D004,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f039/metadata/manifest.json;tests/stata/test-f039.do;tests/fixtures/parity/py012/metadata/manifest.json;tests/stata/python/test_inference.do;tests/fixtures/parity/py012/expected/contract/upstream-test-map.csv;reports/implementation-status.md,"F039 is closed by the stronger PY012 inheritance gate plus the original F039 analytical fixture: PY012 maps all 43 parameterized assertions in DrSquare/csdid csdid/test_csdid/test_inference.py at sha256 770ee9e9c76f03810c3a0dd2f9e1d78d957262696da38b806abbb538b357965f, covering balanced-panel and repeated-cross-section finite ATT(g,t) SEs, influence-function dimensions, simple and event-level aggregation SEs, unclustered bootstrap-vs-analytical broad SE agreement, bootstrap/analytical ATT equality, overall ATT near the true effect, and DR/REG cross-method ATT agreement; the older F039 fixture remains as additional analytical R-anchored evidence"
F040,python,Python JEL tests,true,deeper,Python csdid,F040,Python JEL test inheritance,F040,tests/stata/test-f040.do,tests/fixtures/parity/f040,TOL004,D004,parity-verified|approved-divergence,approved-divergence,measured,tests/fixtures/parity/f040/metadata/manifest.json;tests/stata/test-f040.do;tests/run-jel-smoke.sh;reports/implementation-status.md,"Python JEL inheritance audit gate passed for the R/Python JEL scenario map: F041-F043 cover Table 7, 2xT, and GxT JEL analytical scenarios on actual JEL data, while F040 verifies the JEL Table 7 weighted DR covariate fast-request case falls back to baseline and matches exactly; approved divergence records that the frozen Python source path csdid/test_csdid/test_jel_replication.py is absent in the available local Python checkout, so unavailable Python-specific source contents are not certified"
F041,jel,JEL Table 7,true,empirical,JEL-DiD,F041,2x2 CS-DiD with covariates,F041,tests/stata/test-f041.do,tests/fixtures/parity/f041,TOL004,D006,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f041/metadata/manifest.json;tests/stata/test-f041.do;tests/run-jel-smoke.sh;reports/implementation-status.md;reports/jel-full-reproduction-result.md,"JEL Table 7 parity is verified: the analytical JEL smoke fixture matches R did 2.5.1 across reg/ipw/dr, weighted and unweighted designs, and the full JEL reproduction gate passed both master scripts with all committed table/figure artifacts hash-matching or semantically matching."
F042,jel,JEL 2xT event study,true,empirical,JEL-DiD,F042,2xT event-study outputs,F042,tests/stata/test-f042.do,tests/fixtures/parity/f042,TOL004,D006,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f042/metadata/manifest.json;tests/stata/test-f042.do;tests/run-jel-smoke.sh;reports/implementation-status.md;reports/jel-full-reproduction-result.md,"JEL 2xT parity is verified: the analytical JEL smoke fixture matches R did 2.5.1 for weighted trend data, raw ATT(g,t), dynamic aggregation, and post-window summaries, and the full JEL reproduction gate passed both master scripts with all committed table/figure artifacts hash-matching or semantically matching."
F043,jel,JEL GxT analysis,true,empirical,JEL-DiD,F043,Group-time analysis outputs,F043,tests/stata/test-f043.do,tests/fixtures/parity/f043,TOL004,D006,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f043/metadata/manifest.json;tests/stata/test-f043.do;tests/run-jel-smoke.sh;reports/implementation-status.md;reports/jel-full-reproduction-result.md,"JEL GxT parity is verified: the analytical JEL smoke fixture matches R did 2.5.1 for trend data, ATT(g,t), dynamic aggregation, and post-window aggregation under the recorded F043 tolerance, and the full JEL reproduction gate passed both master scripts with all committed table/figure artifacts hash-matching or semantically matching."
F044,jel,JEL figures and tables,true,empirical,JEL-DiD,F044,All JEL artifacts,F044,tests/stata/test-f044.do,tests/fixtures/parity/f044,TOL004,D006,parity-verified|approved-divergence,parity-verified,measured,tests/fixtures/parity/f044/metadata/manifest.json;tests/fixtures/parity/f044/expected/contract/jel-artifact-inventory.csv;tests/fixtures/parity/f044/expected/contract/full-reproduction-evidence.csv;tests/fixtures/jel/expected/contract/jel-artifact-rollup.csv;tests/stata/test-f044.do;tests/stata/jel/test-artifact-contract.do;reports/jel-replication-summary.md;reports/jel-full-reproduction-result.md;reports/implementation-status.md;tools/jel/run-full-reproduction.py,"F044 parity is verified for conformance profile v1: all JEL001-JEL018 scripts/artifacts are inventoried, the default artifact contract links each artifact to full reproduction evidence, and the opt-in full R/Stata JEL master gate passed with no nonmatching or missing committed artifacts."
F045,legacy,Legacy default divergences,false,compat,Legacy Stata,F045,Old defaults behind explicit options,F045,tests/stata/test-f045.do,tests/fixtures/parity/f045,TOL001,D008,parity-verified|approved-divergence|unsupported-by-design,unsupported-by-design,measured,tests/fixtures/parity/f045/metadata/manifest.json;tests/stata/test-f045.do;reports/implementation-status.md;tools/parity/generators/f045/generate.R,"Legacy default-divergence snapshot passed: balanced defaults match explicit R-compatible defaults, unbalanced ivar() defaults to the D003 unbalanced-as-repeated-cross-section path, omitted ivar() defaults to repeated cross sections, asinr remains an opt-in no-op warning, method(dripw)/method(stdipw) remain opt-in canonical aliases, long/long2 select base_period(universal) when base_period() is omitted, and removed balance/dryrun legacy default paths return explicit unsupported-by-design errors CONVERTED 2026-07-27 behavioral -> measured: 40 cells across five default-surface scenarios (balanced, RCS, ipw, unbalanced, all weighted) pinned against R at 1e-9. The assertions previously checked only that omitted options resolved to the documented defaults, not what those defaults produce."
